Date,Outfall Location,CSO_ID,TotalMinutes_combined,Volume_combined,Discharge Latitude,Discharge Longitude,Treated?,notes
7-26-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,94,3.08,NA,NA,NA,NA
7-26-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,20,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
7-31-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,96,2.52,NA,NA,NA,NA
7-31-2019,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,16,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
8-02-2017,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,106,2.44,NA,NA,NA,NA
8-04-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,74,3.26,NA,NA,NA,NA
8-04-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,76,0.9,NA,NA,NA,NA
8-07-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,275,12.56,NA,NA,NA,NA
8-08-2019,MWR201: Cottage Farm CSO Storage and Treatment Facility Outfall,MWR201,225,19.27,NA,NA,NA,NA
8-08-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,325,22.29,NA,NA,NA,NA
8-08-2019,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,161,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
8-08-2019,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,120,5.26,NA,NA,NA,NA
8-09-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,39,0.76,NA,NA,NA,NA
8-11-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,126,3.95,NA,NA,NA,NA
8-11-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,209,2.63,NA,NA,NA,NA
8-11-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,106,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
8-12-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,321,28.52,NA,NA,NA,NA
8-12-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,290,9.74,NA,NA,NA,NA
8-12-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,55,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
8-12-2018,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,58,0.97,NA,NA,NA,NA
8-13-2016,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,87,0.79,NA,NA,NA,NA
8-13-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,93,0.56,NA,NA,NA,NA
8-14-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,51,0.88,NA,NA,NA,NA
8-14-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,34,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
8-17-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,100,2.17,NA,NA,NA,NA
8-17-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,75,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
8-22-2016,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,137,5.1,NA,NA,NA,NA
8-22-2016,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,102,0.73,NA,NA,NA,NA
8-22-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,54,0.63,NA,NA,NA,NA
8-23-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,61,0.51,NA,NA,NA,NA
8-23-2020,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,176,8.54,NA,NA,NA,NA
8-23-2020,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,115,3.09,NA,NA,NA,NA
8-23-2020,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,53,0.43,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
8-29-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,136,11.05,NA,NA,NA,NA
8-29-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,134,3.9,NA,NA,NA,NA
8-29-2019,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,40,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
9-02-2019,MWR201: Cottage Farm CSO Storage and Treatment Facility Outfall,MWR201,84,1.93,NA,NA,NA,NA
9-02-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,154,13.48,NA,NA,NA,NA
9-02-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,151,5.59,NA,NA,NA,NA
9-02-2019,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,42,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
9-04-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,102,1.16,NA,NA,NA,NA
9-07-2017,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,151,9.54,NA,NA,NA,NA
9-07-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,174,1.94,NA,NA,NA,NA
9-07-2017,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,36,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
9-07-2017,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,89,0.93,NA,NA,NA,NA
9-10-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,324,1.31,NA,NA,NA,NA
9-11-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,122,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
9-14-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,65,0.2,NA,NA,NA,NA
9-18-2018,MWR201: Cottage Farm CSO Storage and Treatment Facility Outfall,MWR201,113,4.28,NA,NA,NA,NA
9-18-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,194,12.46,NA,NA,NA,NA
9-18-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,208,8.17,NA,NA,NA,NA
9-18-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,40,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
9-23-2016,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,76,0.48,NA,NA,NA,NA
9-25-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,143,11.5,NA,NA,NA,NA
9-25-2018,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,242,3.41,NA,NA,NA,NA
9-25-2018,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,153,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
9-30-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,211,1.32,NA,NA,NA,NA
9-30-2017,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,25,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
9-30-2020,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,32,0.9,NA,NA,NA,NA
